Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left
467,7,"(486.0, 284.0)","(486.0, 273.0)","(496.0, 272.0)","(497.0, 284.0)"
467,4,"(571.0, 227.0)","(584.0, 227.0)","(584.0, 240.0)","(571.0, 241.0)"
467,5,"(776.0, 61.0)","(815.0, 58.0)","(815.0, 95.0)","(777.0, 98.0)"
468,7,"(493.0, 274.0)","(493.0, 263.0)","(504.0, 263.0)","(504.0, 275.0)"
468,4,"(579.0, 216.0)","(593.0, 216.0)","(592.0, 230.0)","(579.0, 230.0)"
468,5,"(793.0, 40.0)","(834.0, 35.0)","(835.0, 74.0)","(795.0, 79.0)"
469,4,"(580.0, 221.0)","(594.0, 221.0)","(593.0, 236.0)","(579.0, 235.0)"
469,7,"(492.0, 282.0)","(492.0, 271.0)","(503.0, 270.0)","(503.0, 283.0)"
469,5,"(810.0, 23.0)","(854.0, 19.0)","(854.0, 62.0)","(812.0, 66.0)"
471,7,"(437.0, 287.0)","(435.0, 275.0)","(447.0, 274.0)","(448.0, 286.0)"
471,4,"(525.0, 221.0)","(539.0, 220.0)","(540.0, 235.0)","(526.0, 236.0)"
472,4,"(518.0, 218.0)","(533.0, 216.0)","(535.0, 231.0)","(520.0, 233.0)"
476,4,"(549.0, 214.0)","(564.0, 213.0)","(565.0, 230.0)","(549.0, 231.0)"
476,7,"(453.0, 283.0)","(453.0, 270.0)","(466.0, 270.0)","(466.0, 284.0)"
477,7,"(459.0, 298.0)","(459.0, 285.0)","(472.0, 284.0)","(473.0, 298.0)"
477,4,"(557.0, 227.0)","(573.0, 226.0)","(574.0, 243.0)","(558.0, 244.0)"
479,4,"(527.0, 229.0)","(545.0, 228.0)","(544.0, 246.0)","(527.0, 246.0)"
480,7,"(413.0, 301.0)","(412.0, 288.0)","(426.0, 286.0)","(428.0, 301.0)"
480,4,"(515.0, 224.0)","(532.0, 223.0)","(533.0, 241.0)","(515.0, 242.0)"
481,4,"(499.0, 242.0)","(516.0, 241.0)","(517.0, 259.0)","(499.0, 261.0)"
481,7,"(396.0, 323.0)","(395.0, 309.0)","(409.0, 307.0)","(410.0, 322.0)"
483,4,"(486.0, 201.0)","(506.0, 201.0)","(505.0, 220.0)","(486.0, 220.0)"
484,7,"(371.0, 291.0)","(371.0, 276.0)","(386.0, 276.0)","(387.0, 292.0)"
484,4,"(482.0, 210.0)","(500.0, 210.0)","(501.0, 230.0)","(481.0, 230.0)"
484,10,"(915.0, 213.0)","(927.0, 210.0)","(927.0, 251.0)","(914.0, 252.0)"
485,4,"(486.0, 223.0)","(506.0, 224.0)","(506.0, 243.0)","(486.0, 243.0)"
485,7,"(375.0, 306.0)","(374.0, 290.0)","(390.0, 290.0)","(391.0, 306.0)"
485,10,"(936.0, 224.0)","(950.0, 219.0)","(950.0, 261.0)","(936.0, 263.0)"
486,7,"(355.0, 337.0)","(354.0, 322.0)","(370.0, 320.0)","(371.0, 337.0)"
486,4,"(468.0, 252.0)","(488.0, 251.0)","(489.0, 271.0)","(468.0, 272.0)"
486,10,"(938.0, 246.0)","(954.0, 241.0)","(954.0, 286.0)","(938.0, 287.0)"
487,4,"(444.0, 215.0)","(464.0, 215.0)","(464.0, 236.0)","(443.0, 237.0)"
487,10,"(944.0, 222.0)","(963.0, 217.0)","(961.0, 265.0)","(942.0, 266.0)"
488,7,"(319.0, 311.0)","(319.0, 295.0)","(336.0, 295.0)","(336.0, 312.0)"
488,10,"(945.0, 229.0)","(964.0, 226.0)","(963.0, 274.0)","(943.0, 275.0)"
488,4,"(439.0, 224.0)","(460.0, 225.0)","(459.0, 246.0)","(438.0, 246.0)"
489,4,"(475.0, 271.0)","(497.0, 271.0)","(498.0, 293.0)","(476.0, 294.0)"
489,7,"(355.0, 365.0)","(353.0, 347.0)","(370.0, 346.0)","(372.0, 364.0)"
490,4,"(552.0, 249.0)","(575.0, 248.0)","(575.0, 271.0)","(552.0, 272.0)"
490,11,"(967.0, 723.0)","(930.0, 712.0)","(940.0, 701.0)","(979.0, 713.0)"
490,7,"(427.0, 345.0)","(426.0, 328.0)","(444.0, 326.0)","(445.0, 344.0)"
491,7,"(442.0, 333.0)","(442.0, 315.0)","(460.0, 315.0)","(459.0, 334.0)"
491,4,"(570.0, 238.0)","(594.0, 237.0)","(595.0, 260.0)","(571.0, 262.0)"
492,7,"(469.0, 339.0)","(469.0, 320.0)","(487.0, 320.0)","(488.0, 339.0)"
492,0,"(44.0, 278.0)","(62.0, 279.0)","(63.0, 305.0)","(45.0, 304.0)"
492,4,"(601.0, 241.0)","(627.0, 241.0)","(627.0, 265.0)","(601.0, 265.0)"
493,7,"(480.0, 346.0)","(479.0, 328.0)","(497.0, 326.0)","(498.0, 346.0)"
493,4,"(616.0, 246.0)","(641.0, 245.0)","(642.0, 270.0)","(617.0, 272.0)"
494,7,"(501.0, 347.0)","(501.0, 328.0)","(520.0, 328.0)","(520.0, 348.0)"
495,4,"(644.0, 238.0)","(671.0, 236.0)","(671.0, 263.0)","(645.0, 264.0)"
495,7,"(503.0, 341.0)","(502.0, 321.0)","(520.0, 320.0)","(522.0, 340.0)"
496,7,"(477.0, 328.0)","(478.0, 307.0)","(497.0, 308.0)","(497.0, 329.0)"
496,4,"(627.0, 223.0)","(654.0, 223.0)","(653.0, 251.0)","(625.0, 251.0)"
497,7,"(479.0, 326.0)","(479.0, 305.0)","(499.0, 305.0)","(499.0, 326.0)"
497,4,"(630.0, 217.0)","(659.0, 218.0)","(658.0, 245.0)","(629.0, 246.0)"
498,7,"(464.0, 357.0)","(464.0, 335.0)","(485.0, 335.0)","(485.0, 358.0)"
498,4,"(621.0, 241.0)","(651.0, 240.0)","(649.0, 271.0)","(620.0, 270.0)"
499,7,"(496.0, 337.0)","(497.0, 315.0)","(518.0, 316.0)","(518.0, 338.0)"
499,4,"(656.0, 219.0)","(687.0, 217.0)","(687.0, 247.0)","(657.0, 249.0)"
500,7,"(469.0, 343.0)","(470.0, 320.0)","(492.0, 321.0)","(492.0, 344.0)"
500,4,"(635.0, 225.0)","(667.0, 224.0)","(667.0, 255.0)","(635.0, 256.0)"
501,7,"(482.0, 358.0)","(482.0, 335.0)","(505.0, 336.0)","(505.0, 360.0)"
501,4,"(653.0, 236.0)","(686.0, 236.0)","(685.0, 269.0)","(652.0, 268.0)"
502,7,"(503.0, 375.0)","(504.0, 351.0)","(526.0, 352.0)","(527.0, 376.0)"
502,4,"(678.0, 249.0)","(713.0, 249.0)","(712.0, 282.0)","(678.0, 283.0)"
503,7,"(510.0, 380.0)","(509.0, 355.0)","(533.0, 355.0)","(534.0, 379.0)"
503,4,"(693.0, 246.0)","(728.0, 245.0)","(727.0, 280.0)","(691.0, 281.0)"
504,4,"(677.0, 238.0)","(715.0, 238.0)","(713.0, 275.0)","(675.0, 275.0)"
504,7,"(485.0, 376.0)","(485.0, 350.0)","(510.0, 350.0)","(510.0, 376.0)"
505,7,"(472.0, 358.0)","(472.0, 332.0)","(498.0, 332.0)","(498.0, 359.0)"
505,4,"(670.0, 210.0)","(709.0, 209.0)","(709.0, 248.0)","(669.0, 249.0)"
506,7,"(448.0, 402.0)","(448.0, 373.0)","(475.0, 374.0)","(475.0, 402.0)"
506,4,"(653.0, 244.0)","(694.0, 242.0)","(695.0, 283.0)","(654.0, 285.0)"
507,4,"(690.0, 225.0)","(735.0, 224.0)","(733.0, 267.0)","(690.0, 268.0)"
507,7,"(473.0, 386.0)","(473.0, 358.0)","(501.0, 358.0)","(501.0, 387.0)"
508,7,"(453.0, 373.0)","(454.0, 344.0)","(482.0, 344.0)","(482.0, 374.0)"
508,4,"(680.0, 211.0)","(726.0, 211.0)","(724.0, 256.0)","(678.0, 255.0)"
509,7,"(452.0, 382.0)","(452.0, 352.0)","(481.0, 352.0)","(481.0, 383.0)"
509,4,"(687.0, 216.0)","(734.0, 216.0)","(732.0, 263.0)","(685.0, 263.0)"
510,4,"(688.0, 216.0)","(738.0, 217.0)","(734.0, 267.0)","(684.0, 265.0)"
510,7,"(436.0, 390.0)","(438.0, 358.0)","(468.0, 359.0)","(466.0, 392.0)"
511,7,"(387.0, 407.0)","(389.0, 374.0)","(420.0, 375.0)","(419.0, 409.0)"
511,4,"(652.0, 225.0)","(705.0, 226.0)","(703.0, 278.0)","(650.0, 277.0)"
512,4,"(610.0, 239.0)","(666.0, 239.0)","(665.0, 294.0)","(608.0, 293.0)"
512,7,"(334.0, 432.0)","(335.0, 398.0)","(369.0, 399.0)","(368.0, 434.0)"
513,7,"(303.0, 424.0)","(303.0, 388.0)","(339.0, 389.0)","(338.0, 425.0)"
513,4,"(585.0, 221.0)","(643.0, 221.0)","(643.0, 278.0)","(584.0, 278.0)"
514,4,"(573.0, 208.0)","(633.0, 208.0)","(631.0, 268.0)","(571.0, 267.0)"
514,7,"(284.0, 421.0)","(285.0, 384.0)","(321.0, 385.0)","(319.0, 422.0)"
515,4,"(541.0, 216.0)","(605.0, 217.0)","(603.0, 281.0)","(539.0, 279.0)"
515,7,"(236.0, 441.0)","(237.0, 402.0)","(275.0, 403.0)","(274.0, 442.0)"
